name,topics,topic_0,topic_1
小长假 购物节 嗨起来 购起来,"[(0, 0.5668686), (1, 0.43313143)]",0.5668686032295227,0.4331314265727997
分时预约 游园赏景笃悠悠,"[(0, 0.8405567), (1, 0.15944327)]",0.8405566811561584,0.15944327414035797
牵住牛鼻子 走好先手棋,"[(0, 0.80250996), (1, 0.19749002)]",0.8025099635124207,0.19749002158641815
2020自然指数年度榜单发布中国近5年科研产出增长最快,"[(0, 0.65774155), (1, 0.34225842)]",0.6577415466308594,0.34225842356681824
抓紧抓实抓细常态化疫情防控,"[(0, 0.9819549), (1, 0.018045146)]",0.9819548726081848,0.018045146018266678
5点半出门9点半到长兴岛,"[(0, 0.7476733), (1, 0.25232667)]",0.7476732730865479,0.2523266673088074
27万元起！国产Model 3降价,"[(0, 0.12891823), (1, 0.8710818)]",0.12891823053359985,0.8710818290710449
新品让利！上汽嘉年华亮点多,"[(0, 0.02086896), (1, 0.97913104)]",0.02086896076798439,0.9791310429573059
游园购物  保持适度距离  选择分流错时,"[(0, 0.57712716), (1, 0.42287278)]",0.5771271586418152,0.42287278175354004
直播带货 已成标配 势为常态,"[(0, 0.1980354), (1, 0.8019646)]",0.19803540408611298,0.8019645810127258
美女主播为“千店大联播”热身,"[(0, 0.15603466), (1, 0.84396535)]",0.1560346633195877,0.8439653515815735
十分钟邂逅《十分上海》·流量新青年,"[(0, 0.100238234), (1, 0.8997618)]",0.10023823380470276,0.8997617959976196
地铁车厢挤吗热吗 手机APP实时看,"[(0, 0.6030297), (1, 0.3969702)]",0.603029727935791,0.3969702124595642
上海昨新增5例境外输入病例,"[(0, 0.020686675), (1, 0.9793134)]",0.020686674863100052,0.9793133735656738
昨新增确诊病例12例 其中境外输入6例,"[(0, 0.016426107), (1, 0.98357385)]",0.01642610691487789,0.983573853969574
徐家汇连廊地面段部分开放,"[(0, 0.028827768), (1, 0.9711723)]",0.028827767819166183,0.9711722731590271
他们的古生物科普视频火了,"[(0, 0.30195382), (1, 0.69804615)]",0.30195382237434387,0.6980461478233337
浦发银行探索“银政保”合作机制,"[(0, 0.4635778), (1, 0.53642213)]",0.4635778069496155,0.5364221334457397
上海首个！离境退税可即买即退,"[(0, 0.82648677), (1, 0.17351322)]",0.8264867663383484,0.17351321876049042
巴国民议会议长 病毒检测呈阳性,"[(0, 0.10748557), (1, 0.89251447)]",0.1074855700135231,0.8925144672393799
米舒斯京染病毒 普京任命代总理,"[(0, 0.16942985), (1, 0.8305701)]",0.16942985355854034,0.8305701017379761
美情报机构称病毒非人造 “打脸”蓬佩奥“甩锅”言论,"[(0, 0.043983914), (1, 0.95601606)]",0.04398391395807266,0.9560160636901855
联合国：疫情中面临三项关键任务,"[(0, 0.021241387), (1, 0.9787586)]",0.021241387352347374,0.9787585735321045
白衣勇者 无怨无悔,"[(0, 0.9129258), (1, 0.08707423)]",0.9129257798194885,0.08707422763109207
防控疫情中最闪耀的新星,"[(0, 0.51751417), (1, 0.4824859)]",0.517514169216156,0.48248589038848877
情“艺”无价,"[(0, 0.9105563), (1, 0.0894437)]",0.9105563163757324,0.08944369852542877
全方位展示新国潮文化复兴,"[(0, 0.016560623), (1, 0.98343945)]",0.016560623422265053,0.9834394454956055
东南西北 云五一艺同游,"[(0, 0.047150817), (1, 0.9528492)]",0.04715081676840782,0.9528492093086243
一纸决定冠军归大巴黎,"[(0, 0.43101546), (1, 0.56898457)]",0.4310154616832733,0.5689845681190491
几张新面孔 有些小花头,"[(0, 0.013243623), (1, 0.9867564)]",0.013243623077869415,0.9867563843727112
